                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83843,                0.75058,                 1.1656,                0.92319,                0.92492,                 0.9621,                0.77029,                0.72552,                0.60253,                 1.1252,               0.000948,               0.000948,               0.000948
                     36,                0.85793,                0.77028,                 1.1776,                0.94081,                0.94674,                0.97617,                0.77841,                0.75974,                 0.5658,                 1.1583,             0.00093385,             0.00093385,             0.00093385
                     37,                0.84622,                0.76039,                 1.1919,                0.90637,                 0.9456,                0.96748,                0.77855,                0.72429,                0.59423,                 1.1181,              0.0009197,              0.0009197,              0.0009197
                     38,                0.81302,                0.73588,                 1.1701,                0.91578,                0.95718,                0.97514,                0.79344,                0.70687,                0.56699,                 1.1155,             0.00090556,             0.00090556,             0.00090556
                     39,                0.83628,                0.75689,                 1.1887,                0.97024,                0.96246,                0.98348,                0.80295,                0.69424,                 0.5445,                 1.1103,             0.00089141,             0.00089141,             0.00089141
                     40,                0.83223,                0.72118,                 1.1597,                0.93201,                0.94888,                0.97456,                0.78872,                0.70622,                0.56807,                 1.1024,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81871,                0.69265,                 1.1565,                0.88111,                0.88749,                0.96345,                0.75707,                0.75965,                0.66014,                 1.1498,             0.00086312,             0.00086312,             0.00086312
                     42,                0.82364,                0.71279,                 1.1615,                0.85787,                0.91002,                0.97052,                0.79008,                0.70958,                0.64048,                 1.1117,             0.00084897,             0.00084897,             0.00084897
                     43,                0.80641,                0.69237,                 1.1418,                0.94107,                0.94592,                0.98531,                0.80208,                 0.6963,                0.52056,                 1.1015,             0.00083482,             0.00083482,             0.00083482
                     44,                0.80901,                0.69886,                 1.1696,                0.95792,                0.96579,                 0.9849,                0.80433,                0.68659,                0.49559,                 1.0882,             0.00082067,             0.00082067,             0.00082067
                     45,                0.80854,                0.68876,                 1.1638,                0.95212,                0.96472,                0.99012,                0.80764,                 0.6834,                0.47993,                 1.0895,             0.00080653,             0.00080653,             0.00080653
                     46,                0.77614,                 0.6938,                  1.136,                0.94342,                0.93301,                0.98102,                0.79089,                0.71585,                0.49938,                 1.1136,             0.00079238,             0.00079238,             0.00079238
                     47,                0.79988,                0.67552,                 1.1655,                0.96247,                0.96324,                0.98782,                0.82636,                0.66435,                0.45395,                 1.0737,             0.00077823,             0.00077823,             0.00077823
                     48,                0.77252,                0.65861,                 1.1421,                0.96291,                0.97923,                0.99021,                0.81478,                0.67377,                0.45877,                 1.0777,             0.00076409,             0.00076409,             0.00076409
                     49,                0.75774,                0.64053,                 1.1319,                0.97762,                0.96664,                0.99098,                0.81151,                0.67041,                0.45746,                 1.0826,             0.00074994,             0.00074994,             0.00074994
                     50,                0.78199,                0.65378,                  1.137,                0.97717,                0.98042,                0.99265,                 0.8328,                0.63872,                0.45056,                 1.0584,             0.00073579,             0.00073579,             0.00073579
                     51,                0.76454,                0.62075,                 1.1353,                0.97595,                 0.9752,                 0.9909,                0.81556,                0.65487,                0.44448,                 1.0741,             0.00072164,             0.00072164,             0.00072164
                     52,                0.76837,                0.62752,                 1.1264,                0.97191,                 0.9804,                0.99078,                 0.8121,                0.67264,                 0.4542,                 1.0951,              0.0007075,              0.0007075,              0.0007075
                     53,                0.75437,                0.63689,                 1.1196,                0.98112,                0.96924,                 0.9904,                0.81278,                0.67034,                0.46168,                 1.0896,             0.00069335,             0.00069335,             0.00069335
                     54,                0.76177,                0.61965,                 1.1371,                0.96528,                0.96356,                0.98684,                0.82985,                0.63149,                0.46204,                 1.0526,              0.0006792,              0.0006792,              0.0006792
                     55,                0.75978,                0.62458,                 1.1336,                0.97885,                0.97607,                0.99026,                0.84355,                 0.6142,                0.40873,                 1.0423,             0.00066506,             0.00066506,             0.00066506
                     56,                0.71382,                0.59739,                  1.097,                0.97733,                0.96964,                 0.9906,                0.84317,                0.59046,                0.41702,                 1.0244,             0.00065091,             0.00065091,             0.00065091
                     57,                0.72059,                0.61444,                 1.1149,                0.97897,                0.98147,                 0.9922,                0.85101,                0.60189,                0.40442,                 1.0245,             0.00063676,             0.00063676,             0.00063676
                     58,                0.72663,                0.61711,                 1.1276,                0.97585,                0.98589,                0.99368,                0.85196,                 0.5925,                0.40086,                 1.0309,             0.00062262,             0.00062262,             0.00062262
                     59,                0.69658,                0.59542,                 1.1101,                0.98109,                 0.9799,                0.99385,                0.85694,                0.58996,                 0.3899,                 1.0197,             0.00060847,             0.00060847,             0.00060847
                     60,                0.71885,                0.59073,                 1.1038,                0.97895,                0.97351,                0.99142,                0.85001,                 0.5897,                 0.4055,                 1.0249,             0.00059432,             0.00059432,             0.00059432
                     61,                 0.7139,                0.58838,                 1.1027,                0.96111,                0.98325,                0.99052,                0.84894,                0.58274,                0.40576,                 1.0209,             0.00058017,             0.00058017,             0.00058017
                     62,                0.73354,                 0.5875,                 1.1096,                0.98355,                 0.9807,                0.99152,                0.85128,                0.59917,                0.37925,                 1.0288,             0.00056603,             0.00056603,             0.00056603
