                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5761,                0.50229,                 1.0245,                0.99704,                 0.9938,                0.99482,                0.90792,                 0.4226,                0.29347,                0.91166,             0.00020006,             0.00020006,             0.00020006
                      2,                0.58089,                 0.4566,                 1.0271,                0.99093,                0.98907,                0.99472,                0.89984,                0.47065,                0.32394,                0.94102,             0.00041236,             0.00041236,             0.00041236
                      3,                0.63745,                0.49066,                 1.0513,                0.98984,                0.98905,                0.99216,                0.86817,                0.52904,                0.35687,                0.98469,             0.00062254,             0.00062254,             0.00062254
                      4,                 0.6529,                 0.5264,                 1.0461,                0.96157,                0.97591,                0.99015,                0.85035,                0.58059,                0.40049,                 1.0189,             0.00083059,             0.00083059,             0.00083059
                      5,                0.69635,                0.54947,                 1.0807,                0.96706,                 0.9644,                0.99004,                0.85219,                0.57452,                0.42856,                 1.0243,              0.0010365,              0.0010365,              0.0010365
                      6,                0.68484,                0.55903,                 1.0921,                0.95806,                0.97233,                0.98439,                0.82739,                0.62986,                0.44063,                  1.062,              0.0012403,              0.0012403,              0.0012403
                      7,                0.69957,                0.59381,                 1.0874,                0.93248,                0.93239,                0.96815,                0.79716,                0.67566,                0.52364,                 1.0971,              0.0013866,              0.0013866,              0.0013866
                      8,                0.73427,                0.60207,                 1.1045,                0.95487,                0.95131,                0.98949,                0.83893,                0.62756,                0.46095,                 1.0626,              0.0013795,              0.0013795,              0.0013795
                      9,                0.73137,                0.61877,                  1.121,                0.93271,                  0.957,                0.98101,                 0.8105,                0.66273,                0.50113,                 1.0792,              0.0013724,              0.0013724,              0.0013724
                     10,                0.77231,                0.64164,                 1.1549,                0.95135,                0.94971,                0.96897,                0.80781,                0.65309,                0.53433,                 1.0805,              0.0013653,              0.0013653,              0.0013653
                     11,                0.75289,                 0.6127,                 1.1264,                0.95123,                0.96786,                0.98657,                0.78006,                0.75803,                0.51276,                 1.1504,              0.0013583,              0.0013583,              0.0013583
