                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45519,                 2.9436,                0.98416,                0.45435,                 0.2492,                0.49111,                0.47618,                0.26837,                 2.4119,                0.84358,             0.00014443,             0.00014443,             0.00014443
                      2,                0.46097,                 2.4269,                0.99222,                0.96295,                0.50857,                0.71189,                 0.6881,                0.29549,                 1.8022,                 0.8545,             0.00029849,             0.00029849,             0.00029849
                      3,                0.51321,                 1.8808,                 1.0449,                0.90783,                0.70236,                0.71556,                0.67414,                0.33695,                 1.1259,                0.88466,               0.000451,               0.000451,               0.000451
                      4,                0.50698,                 1.1957,                 1.0235,                0.97013,                 0.7237,                0.73627,                0.69543,                0.35457,                0.83862,                0.89054,             0.00060198,             0.00060198,             0.00060198
                      5,                0.52464,                0.93378,                 1.0302,                0.99028,                0.73521,                0.74658,                0.70365,                0.36364,                0.65623,                0.87769,             0.00075141,             0.00075141,             0.00075141
                      6,                0.52397,                0.83395,                 1.0232,                0.98867,                0.74218,                0.74738,                0.68499,                0.44199,                0.69238,                0.92823,             0.00089931,             0.00089931,             0.00089931
                      7,                0.55187,                0.79773,                 1.0217,                 0.9801,                0.73965,                0.74745,                0.68943,                0.42415,                0.64861,                0.92014,              0.0010457,              0.0010457,              0.0010457
                      8,                0.53814,                0.75869,                 1.0019,                 0.9918,                0.74653,                0.74799,                0.69481,                0.41171,                0.65431,                0.90036,              0.0010725,              0.0010725,              0.0010725
                      9,                0.55761,                0.73855,                 1.0147,                0.99563,                 0.7445,                 0.7467,                0.69041,                0.40968,                0.59978,                0.89905,               0.001067,               0.001067,               0.001067
                     10,                0.55147,                0.73323,                 1.0146,                0.99214,                0.74603,                0.74933,                0.68197,                0.45356,                0.56719,                0.93659,              0.0010615,              0.0010615,              0.0010615
                     11,                0.56089,                0.71782,                 1.0416,                0.99658,                0.74288,                0.74966,                0.67249,                0.49694,                0.55181,                0.95515,               0.001056,               0.001056,               0.001056
                     12,                0.58942,                0.74498,                 1.0449,                0.98471,                0.74247,                0.75012,                 0.6875,                0.43489,                0.50469,                0.92295,              0.0010505,              0.0010505,              0.0010505
                     13,                0.57054,                0.71364,                 1.0093,                0.98578,                0.74169,                0.75547,                0.68631,                0.43381,                0.52029,                0.91945,               0.001045,               0.001045,               0.001045
