                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61343,                0.56763,                 1.0476,                0.99288,                0.99172,                0.99449,                0.88943,                 0.4799,                0.33576,                 0.9625,             0.00020006,             0.00020006,             0.00020006
                      2,                0.62675,                0.50724,                 1.0599,                0.99526,                0.99135,                0.99463,                0.88781,                0.49499,                0.35387,                0.96189,             0.00041236,             0.00041236,             0.00041236
                      3,                0.67159,                0.54056,                 1.0834,                0.96909,                0.97381,                0.98401,                0.83632,                0.60351,                0.45165,                 1.0477,             0.00062254,             0.00062254,             0.00062254
                      4,                0.68974,                0.54467,                 1.0739,                0.93458,                0.95009,                0.96865,                0.79286,                0.67719,                 0.5457,                 1.0983,             0.00083059,             0.00083059,             0.00083059
                      5,                0.75247,                0.59375,                 1.1189,                0.88978,                 0.9093,                 0.9493,                 0.7557,                0.72725,                0.60254,                 1.1466,              0.0010365,              0.0010365,              0.0010365
                      6,                 0.7377,                0.62556,                 1.1235,                0.93617,                0.93014,                0.96372,                0.77808,                0.69078,                0.55331,                 1.1049,              0.0012403,              0.0012403,              0.0012403
                      7,                 0.7453,                0.61797,                 1.1156,                0.87288,                0.89964,                0.94926,                0.76783,                0.75437,                0.66388,                 1.1561,              0.0013866,              0.0013866,              0.0013866
                      8,                0.77136,                0.63796,                   1.13,                0.95353,                0.95803,                0.98237,                0.80912,                0.68758,                0.52144,                 1.1058,              0.0013795,              0.0013795,              0.0013795
                      9,                0.76827,                0.66897,                 1.1378,                0.85035,                0.89522,                0.93586,                0.75097,                0.72729,                0.69867,                 1.1375,              0.0013724,              0.0013724,              0.0013724
                     10,                0.79978,                0.66286,                 1.1735,                0.95525,                0.94705,                0.98055,                0.80315,                0.70129,                0.50045,                 1.1136,              0.0013653,              0.0013653,              0.0013653
                     11,                0.79209,                0.63282,                 1.1525,                0.93593,                0.93766,                0.97248,                0.77245,                0.77001,                0.51052,                 1.1676,              0.0013583,              0.0013583,              0.0013583
                     12,                0.78507,                0.64269,                  1.144,                0.82977,                0.86015,                0.92122,                0.73176,                0.73038,                0.81497,                 1.1352,              0.0013512,              0.0013512,              0.0013512
                     13,                0.77763,                0.67401,                 1.1524,                0.93951,                0.93505,                 0.9774,                0.76965,                  0.775,                0.56313,                 1.1746,              0.0013441,              0.0013441,              0.0013441
                     14,                0.82275,                0.65338,                 1.1634,                0.78916,                0.70554,                0.83617,                0.63242,                0.90937,                0.93775,                 1.2933,               0.001337,               0.001337,               0.001337
                     15,                0.80644,                0.66273,                 1.1709,                0.89734,                0.90065,                0.96608,                0.76075,                0.80322,                0.62759,                 1.1902,                0.00133,                0.00133,                0.00133
                     16,                0.80158,                0.68873,                 1.1634,                0.86455,                0.88547,                0.95168,                0.75664,                0.72307,                  0.682,                 1.1438,              0.0013229,              0.0013229,              0.0013229
